trait.name,T,trait,ref,trait2,trait2.name
mu,21.81481481,0.021365191,Yang_etal_2009,,
mu,25.64814815,0.013226229,Yang_etal_2009,,
mu,27.66666667,0.00889397,Yang_etal_2009,,
mu,31.33333333,0.029776996,Yang_etal_2009,,
mu,31.66666667,0.017907163,Yang_etal_2009,,
mu,32.57407407,0.030713574,Yang_etal_2009,,
mu,33.42592593,0.037450796,Yang_etal_2009,,
PDR,26,0.111111111,Rohani_etal_2009,,
PDR,28,0.111111111,Rohani_etal_2009,,
PDR,30,0.2,Rohani_etal_2009,,
PDR,26,0.111111111,Rohani_etal_2009,,
PDR,28,0.111111111,Rohani_etal_2009,,
PDR,30,0.2,Rohani_etal_2009,,
PDR,32.2222,0.166666667,McLean_etal_1974,,
PDR,32.2222,0.1,McLean_etal_1974,,
PDR,26.6667,0.076923077,McLean_etal_1974,,
PDR,26.6667,0.05,McLean_etal_1974,,
PDR,12.7778,0.028571429,McLean_etal_1974,,
PDR,12.7778,0.024390244,McLean_etal_1974,,
Transmission,9.901647692,0,Lambrechts_etal_2011,,
Transmission,13.8496362,0.1201259,Lambrechts_etal_2011,,
Transmission,14.95710303,0.169392681,Lambrechts_etal_2011,,
Transmission,14.9167091,0.073370793,Lambrechts_etal_2011,,
Transmission,14.95088858,0.000773929,Lambrechts_etal_2011,,
Transmission,17.86563841,0.08765252,Lambrechts_etal_2011,,
Transmission,17.94098862,0.132154889,Lambrechts_etal_2011,,
Transmission,17.91595819,0.452996027,Lambrechts_etal_2011,,
Transmission,17.88013879,0.481096275,Lambrechts_etal_2011,,
Transmission,19.91537127,0.703737589,Lambrechts_etal_2011,,
Transmission,19.92262146,0.900459467,Lambrechts_etal_2011,,
Transmission,19.92382983,0.933246446,Lambrechts_etal_2011,,
Transmission,19.92495188,0.963691499,Lambrechts_etal_2011,,
Transmission,21.88932237,0.263610653,Lambrechts_etal_2011,,
Transmission,21.9363623,0.53996093,Lambrechts_etal_2011,,
Transmission,21.90951933,0.811621598,Lambrechts_etal_2011,,
Transmission,24.93500721,0.903192674,Lambrechts_etal_2011,,
Transmission,26.0034611,0.8939084,Lambrechts_etal_2011,,
Transmission,25.93268542,0.973528168,Lambrechts_etal_2011,,
Transmission,26.9644568,0.968924871,Lambrechts_etal_2011,,
Transmission,26.92881002,1.001708974,Lambrechts_etal_2011,,
Transmission,30.01730552,0.802886842,Lambrechts_etal_2011,,
Transmission,29.98226292,0.852064435,Lambrechts_etal_2011,,
Transmission,31.88353947,0.44003487,Lambrechts_etal_2011,,
Transmission,31.92186192,0.479850508,Lambrechts_etal_2011,,
